wkt_geom,Latitude,Longitude,Name,Icon,IconColor,site_name,country,area,location,mpa,protection,programs,ATRC depth,ATRC years,RLS date-d,old_site_c,wave_expos,relief,slope,currents,realm,province,ecoregion,lat_zone,geom,temperature_mean_2020,silicate_mean_2020,salinity_mean,primary_productivity_mean_2020,phosphate_mean_2020,pH_mean_2020,nitrate_mean_2020,agricultural_diffuse_source_runoff,marine_debris,recreational_fishing_vessel,Commercial_fishing_vessel,iron_mean_2020,dissolved_O2_mean_2020,current_velocity_mean_2020,current_direction_mean_2020,mixed_layer_depth_mean_2020,air_temperature_mean_2020,chlorophyll_mean_2020
Point (-169.68515999999999622 -14.1637000000000004),-14.1637,-169.68516,PAC26,165,#829F82,Ofu Harbour entrance S,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"18/08/2012-6m, 18/08/2012-8m",,3,2,3,2,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000E010AAD4EC3565C0DDB5847CD0532CC0,28.8560881,1.408654797,35.21137951,0.979855454,0.25029888,8.052321646,0.000882153,0,0.612813175,0,3.72E-06,3.19E-05,199.0959023,0.219347897,248.1344233,27.9919244,27.2345624,0.05896298
Point (-169.68718000000001211 -14.1639400000000002),-14.16394,-169.68718,PAC27,165,#829F82,Foisia Island N,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"18/08/2012-13m, 18/08/2012-6m",,3,3,3,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000E44EE960FD3565C0320395F1EF532CC0,28.86282882,1.406884573,35.20784722,0.987083756,0.249601056,8.052470409,0.000885713,0,0.612813175,0,3.72E-06,3.42E-05,199.1561587,0.248601893,202.541954,26.88122234,27.22402522,0.059406165
Point (-169.68574000000000979 -14.16807000000000016),-14.16807,-169.68574,PAC28,165,#829F82,Foisia Island W,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"18/08/2012-15m, 18/08/2012-6m",,3,4,3,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000E3310395F13565C0A1E062450D562CC0,28.86282882,1.406884573,35.20784722,0.987083756,0.249601056,8.052470409,0.000885713,0,0.612813175,0,3.72E-06,3.42E-05,199.1561587,0.248601893,202.541954,26.88122234,27.22402522,0.059406165
Point (-169.68162000000000944 -14.15962000000000032),-14.15962,-169.68162,PAC29,165,#829F82,Ofu Harbour entrance N,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"18/08/2012-6m, 18/08/2012-8m",,3,2,2,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E61000009609BFD4CF3565C036936FB6B9512CC0,28.8560881,1.408654797,35.21137951,0.979855454,0.25029888,8.052321646,0.000882153,0,0.612813175,0,3.72E-06,3.19E-05,199.0959023,0.219347897,248.1344233,27.9919244,27.2345624,0.05896298
Point (-169.65513000000001398 -14.17816999999999972),-14.17817,-169.65513,PAC30,165,#829F82,Ofu National Park,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"19/08/2012-1m, 19/08/2012-0.1m",,1,2,1,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E61000001D9430D3F63465C0B4412619395B2CC0,28.84948209,1.406222872,35.21198362,0.987722416,0.249437685,8.052536037,0.000882137,0,0.612813175,0,3.72E-06,3.50E-05,199.1766521,0.134511624,161.137143,27.16495981,27.21209611,0.059422512
Point (-169.68513999999998987 -14.17125000000000057),-14.17125,-169.68514,PAC31,165,#829F82,Foisa Island S Rock,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"20/08/2012-8m, 20/08/2012-12m",,3,3,2,2,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000CEA5B8AAEC3565C048E17A14AE572CC0,28.86282882,1.406884573,35.20784722,0.987083756,0.249601056,8.052470409,0.000885713,0,0.612813175,0,3.72E-06,3.42E-05,199.1561587,0.248601893,202.541954,26.88122234,27.22402522,0.059406165
Point (-169.68672000000000821 -14.16952000000000034),-14.16952,-169.68672,PAC32,165,#829F82,Foisa Island S,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"20/08/2012-8m, 20/08/2012-12m",,3,2,3,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E61000004BB0389CF93565C02D095053CB562CC0,28.86282882,1.406884573,35.20784722,0.987083756,0.249601056,8.052470409,0.000885713,0,0.612813175,0,3.72E-06,3.42E-05,199.1561587,0.248601893,202.541954,26.88122234,27.22402522,0.059406165
Point (-169.6830099999999959 -14.16440000000000055),-14.1644,-169.68301,PAC33,165,#829F82,Ofu Harbour,American Samoa,Olosega,American Samoa,,Fishing,RLS,#N/A,#N/A,"20/08/2012-8m, 20/08/2012-4m",,1,4,1,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E6100000E99AC937DB3565C0C0EC9E3C2C542CC0,28.8560881,1.408654797,35.21137951,0.979855454,0.25029888,8.052321646,0.000882153,0,0.612813175,0,3.72E-06,3.19E-05,199.0959023,0.219347897,248.1344233,27.9919244,27.2345624,0.05896298
Point (-168.16044999999999732 -14.53480000000000061),-14.5348,-168.16045,PAC34,165,#829F82,Rose Atoll entrance,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Monument,Restricted take,RLS,#N/A,#N/A,"22/08/2012-16m, 22/08/2012-6m",,3,2,3,3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E610000095D40968220565C036CD3B4ED1112DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
Point (-168.15670000000000073 -14.53308),-14.53308,-168.1567,PAC40,165,#829F82,Rose Atoll passage outlet N,American Samoa,Rose Atoll,American Samoa,Rose Atoll National Monument,Restricted take,RLS,#N/A,#N/A,"23/08/2012-14m, 23/08/2012-6m",,2,3,3,4,Eastern Indo-Pacific,Central Polynesia,Samoa Islands,Tropical,0101000020E610000010E9B7AF030565C0A84D9CDCEF102DC0,28.79991415,1.39942477,35.26518633,0.94789071,0.249762923,8.053795926,0.000816756,0,0.612813175,0,3.72E-06,2.14E-05,199.4507102,0.063255655,223.3012449,31.72231175,27.1496718,0.056223251
