species_name,taxonomic_name,family,class,thermal_guild,range,frequency,abundance,max_length,trophic_level,trophic_group,trophic_group_2,water_column,diel_activity,habitat,min_depth,max_depth,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf,phylum,order,genus,species_epithet,phylogenetic_diversity_index,trophic_level_se,vulnerability,reproductive_mode,fertilization,spawning_frequency,batch_spawner,reproductive_guild,life_cycle,trophic_breadth,diet,diet_level,time,macrophyte,complexity
Abalistes stellatus,Abalistes stellatus,Balistidae,Actinopterygii,tropical,1310,3,1,60,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,sand,NA,NA,26.804325,25.73175,30.9635,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablennes hians,Ablennes hians,Belonidae,Actinopterygii,tropical,NA,NA,NA,140,NA,Higher carnivore,Higher carnivore,benthic,Day,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf abdominalis,Abudefduf abdominalis,Pomacentridae,Actinopterygii,tropical,24,67,7,30,3,Planktivore,Planktivore,Demersal,Day,coral,1,50,25.6595,25.7133,27.3996,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf abdominalis,Abudefduf abdominalis,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,abdominalis,0.5,0.2,36,dioecism,exterl,NA,NA,guarders,NA,5,plank. copepods,1,Day,low,medium
Abudefduf bengalensis,Abudefduf bengalensis,Pomacentridae,Actinopterygii,tropical,1940,19,10,17,3.1,Planktivore,Planktivore,Demersal,Day,coral,1,6,25.71525,24.471725,31.533,3,20.3118817,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf bengalensis,Abudefduf bengalensis,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3.1,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,bengalensis,0.5,0.46,28,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf concolor,Abudefduf concolor,Pomacentridae,Actinopterygii,tropical,321,8,2,19,2.7,Planktivore,Planktivore,Demersal,Day,coral,0,12,28.454,27.6948,29.9396,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf concolor,Abudefduf concolor,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.7,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,concolor,0.5,0.3,30,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf conformis,Abudefduf conformis,Pomacentridae,Actinopterygii,tropical,29,100,46,13.1,2.8,Planktivore,Planktivore,Demersal,Day,coral,0,12,28.3972,28.8402,31.67015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf conformis,Abudefduf conformis,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.8,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,conformis,0.5,0.3,30,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf luridus,Abudefduf luridus,Pomacentridae,Actinopterygii,temperate,116,100,62,15,3.5,Planktivore,Planktivore,Demersal,Day,rock,0,25,21.59,21.44195,24.585,2,23.1698417,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf luridus,Abudefduf luridus,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3.5,planktivore,NA,Demersal,NA,rock,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,luridus,0.5,0.37,26,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf notatus,Abudefduf notatus,Pomacentridae,Actinopterygii,tropical,14,40,76,17,2.7,Planktivore,Planktivore,Demersal,Day,coral,1,12,27.47965,26.18385,30.3528,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf notatus,Abudefduf notatus,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.7,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,notatus,0.5,0.31,28,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf saxatilis,Abudefduf saxatilis,Pomacentridae,Actinopterygii,tropical,2211,22,23,22.9,3.4,Planktivore,Planktivore,Demersal,Day,coral,0,20,27.435,26.591975,30.93295,3,24.769741,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf saxatilis,Abudefduf saxatilis,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3.4,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,saxatilis,0.5,0.5,32,dioecism,exterl,NA,NA,guarders,NA,7,Carnivore,4,Day,low,medium
Abudefduf septemfasciatus,Abudefduf septemfasciatus,Pomacentridae,Actinopterygii,tropical,2634,1,19,23,3,Planktivore,Planktivore,Demersal,Day,coral,0,3,28.43445,27.5349,31.655,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf septemfasciatus,Abudefduf septemfasciatus,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,septemfasciatus,0.5,0.38,32,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf sexfasciatus,Abudefduf sexfasciatus,Pomacentridae,Actinopterygii,tropical,3411,14,23,16,2.4,Planktivore,Planktivore,Demersal,Day,coral,1,20,24.7035,24.792,31.121,3,16.3945675,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf sexfasciatus,Abudefduf sexfasciatus,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.4,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,sexfasciatus,0.5,0.1,27,dioecism,exterl,NA,NA,guarders,NA,4,Omnivore,4,Day,low,medium
Abudefduf sordidus,Abudefduf sordidus,Pomacentridae,Actinopterygii,tropical,3723,1,2,23,2.8,Planktivore,Planktivore,Demersal,Day,coral,0,3,24.7935,24.901625,31.18625,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf sordidus,Abudefduf sordidus,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,2.8,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,sordidus,0.5,0.4,32,dioecism,exterl,NA,NA,guarders,NA,4,Omnivore,4,Day,low,medium
Abudefduf sparoides,Abudefduf sparoides,Pomacentridae,Actinopterygii,tropical,358,67,3,16,3,Planktivore,Planktivore,Demersal,Day,coral,0,6,27.8435,27.653,30.052,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf sparoides,Abudefduf sparoides,Pomacentridae,Actinopterygii,NA,NA,NA,NA,NA,3,planktivore,NA,Demersal,NA,coral,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Perciformes,Abudefduf,sparoides,0.5,0.36,27,dioecism,exterl,NA,NA,guarders,NA,4.333333333,plank. copepods,1,Day,low,medium
Abudefduf spp.,Abudefduf spp.,Pomacentridae,Actinopterygii,tropical,NA,NA,NA,NA,NA,Planktivore,Planktivore,Demersal,Day,coral,NA,NA,29.965,29.9235,31.222,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
