species_name ,current_name,approximate_match,score,ott_id,is_synonym,flags,number_matches 
arthrocardia wardii,Arthrocardia wardii,FALSE,1,4009501,FALSE,,1
callophyllis rangiferina,Callophyllis rangiferina,FALSE,1,255952,FALSE,,1
camontagnea oxyclada,Camontagnea oxyclada,FALSE,1,934735,FALSE,,1
cheilosporum sagittatum,Jania sagittata,FALSE,1,131849,TRUE,sibling_higher,1
craspedocarpus ramentaceus,Craspedocarpus ramentaceus,FALSE,1,585493,FALSE,,1
cystophora platylobium,Cystophora platylobium,FALSE,1,251284,FALSE,,1
dictyopteris muelleri,Dictyopteris muelleri,FALSE,1,166556,FALSE,,1
durvillaea potatorum,Durvillaea potatorum,FALSE,1,9572,FALSE,,1
erythrymenia minuta,Erythrymenia minuta,FALSE,1,322566,FALSE,,1
euptilota articulata,Euptilota articulata,FALSE,1,419173,FALSE,,1
gigartina muelleriana,Gigartina muelleriana,FALSE,1,905090,FALSE,,1
hemineura frondosa,Hemineura frondosa,FALSE,1,172215,FALSE,,1
lenormandia marginata,Lenormandia marginata,FALSE,1,114855,FALSE,,1
lessonia corrugata,Lessonia corrugata,FALSE,1,232248,FALSE,,1
mastophoropsis canaliculata,Mastophoropsis canaliculata,FALSE,1,1085606,FALSE,,1
melanthalia obtusata,Melanthalia obtusata,FALSE,1,459992,FALSE,,1
perithalia caudata,Perithalia caudata,FALSE,1,395215,FALSE,,1
phacelocarpus peperocarpos,Phacelocarpus peperocarpos,FALSE,1,380212,FALSE,,1
phyllospora comosa,Phyllospora comosa,FALSE,1,740533,FALSE,,1
plocamium dilatatum,Plocamium dilatatum,FALSE,1,518786,FALSE,,1
plocamium patagiatum,Plocamium patagiatum,FALSE,1,403374,FALSE,,1
sargassum vestitum,Sargassum vestitum,FALSE,1,903928,FALSE,sibling_higher,1
zonaria angustata,Zonaria angustata,FALSE,1,262075,FALSE,,1
amphiroa anceps,Amphiroa anceps,FALSE,1,182859,FALSE,sibling_higher,1
carpoglossum confluens,Carpoglossum confluens,FALSE,1,251287,FALSE,,1
champia viridis,Champia viridis,FALSE,1,99914,FALSE,,1
echinothamnion hystrix,Echinothamnion hystrix,FALSE,1,4741015,FALSE,,1
sargassum fallax,Sargassum fallax,FALSE,1,609888,FALSE,sibling_higher,1
sargassum sonderi,Phyllotricha sonderi,FALSE,1,7044,TRUE,,1
