species_name,class,taxon,max_depth,max_length,lat_span_degrees,t_mean,chl_mean,biogeog
Acropora abrotanoides,Anthozoa,Coral,15,35,21.40606,24.85125816,0.34991652,tropical
Acropora austera,Anthozoa,Coral,20,30,21.55789,26.16257518,0.336526313,tropical
Acropora cerealis,Anthozoa,Coral,30,30,19.96856,27.07357555,0.365417606,tropical
Acropora cytherea,Anthozoa,Coral,25,20,21.44688,26.80740657,0.460798925,tropical
Acropora digitifera,Anthozoa,Coral,15,20,21.68107,26.11263221,0.4653716,tropical
Acropora florida,Anthozoa,Coral,35,15,19.46226,27.19495495,0.494646429,tropical
Acropora gemmifera,Anthozoa,Coral,50,30,20.00657,26.82264154,0.378988628,tropical
Acropora humilis,Anthozoa,Coral,10,15,19.81209,27.15564106,0.409156438,tropical
Acropora hyacinthus,Anthozoa,Coral,36,50,21.58778,26.84395053,0.450420656,tropical
Acropora intermedia,Anthozoa,Coral,18,40,19.85722,26.24887504,0.497029212,tropical
Acropora longicyathus,Anthozoa,Coral,20,40,13.92422,26.92082734,0.416370621,tropical
Acropora loripes,Anthozoa,Coral,25,20,13.25494,27.32857145,0.364324676,tropical
Acropora millepora,Anthozoa,Coral,12,20,20.06635,26.66651572,0.550337251,tropical
Acropora muricata,Anthozoa,Coral,30,50,19.47647,26.51958668,0.485356493,tropical
Acropora nasuta,Anthozoa,Coral,15,20,19.93805,26.53092099,0.410177637,tropical
Acropora tenuis,Anthozoa,Coral,20,15,13.56196,26.91710866,0.523543753,tropical
Acropora valida,Anthozoa,Coral,51,20,21.59844,25.72740671,0.463033621,tropical
Astrea curta,Anthozoa,Coral,45,2,21.7981,24.61809422,0.374246269,tropical
Astreopora myriophthalma,Anthozoa,Coral,20,10,19.44778,26.9849224,0.391443226,tropical
Coscinaraea columna,Anthozoa,Coral,38,8,21.79937,25.96029728,0.271404238,tropical
Diploastrea heliopora,Anthozoa,Coral,56,5,10.13865,27.42328188,0.448284891,tropical
Echinopora lamellosa,Anthozoa,Coral,35,5,13.53008,27.32634256,0.453603302,tropical
Favia favus,Anthozoa,Coral,50,15,19.9834,25.81871038,0.480277107,tropical
Favia pallida,Anthozoa,Coral,30,12,21.59367,26.83366473,0.372012165,tropical
Favia stelligera,Anthozoa,Coral,20,15,13.94748,27.17753657,0.357328138,tropical
Favites abdita,Anthozoa,Coral,15,12,21.51318,26.81470971,0.371480042,tropical
Galaxea fascicularis,Anthozoa,Coral,25,5,12.7581,27.22052167,0.511335353,tropical
Goniastrea australensis,Anthozoa,Coral,40,10,21.46843,23.36165888,0.414420237,tropical
Goniastrea edwardsi,Anthozoa,Coral,30,8,13.94748,27.23500028,0.388527329,tropical
Goniastrea pectinata,Anthozoa,Coral,40,8,19.96213,27.32886588,0.369951638,tropical
Goniastrea retiformis,Anthozoa,Coral,30,25,13.21961,27.72347242,0.416956075,tropical
Isopora brueggemanni,Anthozoa,Coral,15,10,19.21545,28.00158406,0.477859507,tropical
Isopora cuneata,Anthozoa,Coral,15,10,21.30939,23,0.261963684,tropical
Isopora palifera,Anthozoa,Coral,30,12,19.9997,26.86313383,0.324571985,tropical
Leptoria phrygia,Anthozoa,Coral,40,5,20.00666,26.12076266,0.352302763,tropical
Lobophyllia hemprichii,Anthozoa,Coral,50,5,19.48266,26.61583301,0.470689084,tropical
Merulina ampliata,Anthozoa,Coral,40,10,13.54715,27.17511452,0.446039499,tropical
Millepora dichotoma,Anthozoa,Coral,15,30,13.29665,26.1862715,0.337414005,tropical
Millepora exaesa,Anthozoa,Coral,50,15,13.57584,27.22049367,0.355906338,tropical
Montipora crassituberculata,Anthozoa,Coral,20,20,13.94799,26.00210442,0.522571507,tropical
Montipora grisea,Anthozoa,Coral,20,2,13.94799,27.34370246,0.377621186,tropical
Montipora tuberculosa,Anthozoa,Coral,52,2,13.20784,27.83353126,0.538628474,tropical
Pavona varians,Anthozoa,Coral,80,8,19.96207,27.38596574,0.373776935,tropical
Platygyra daedalea,Anthozoa,Coral,30,30,21.43377,24.77665539,0.482882009,tropical
Pocillopora damicornis,Anthozoa,Coral,60,35,21.79937,25.77577793,0.400393947,tropical
Pocillopora meandrina,Anthozoa,Coral,40,25,13.03621,27.45328235,0.377578759,tropical
Pocillopora verrucosa,Anthozoa,Coral,60,35,13.2927,27.21796648,0.335015006,tropical
Porites cylindrica,Anthozoa,Coral,20,2,13.94748,27.52521363,0.414034897,tropical
Porites heronensis,Anthozoa,Coral,5,2,8.57519,23,0.353807735,tropical
Porites lichen,Anthozoa,Coral,30,2,21.48287,26.34488678,0.330889058,tropical
Porites rus,Anthozoa,Coral,20,15,19.48266,27.46315255,0.419250757,tropical
Porites vaughani,Anthozoa,Coral,65,5,13.94052,26.84631001,0.338650541,tropical
Seriatopora caliendrum,Anthozoa,Coral,25,15,21.57737,25.60173435,0.387089521,tropical
Seriatopora hystrix,Anthozoa,Coral,20,30,21.57737,27.42535319,0.423855734,tropical
Stylophora pistillata,Anthozoa,Coral,70,15,21.80506,26.31978353,0.384787317,tropical
Fromia monilis,Asteroidea,Invertebrate,40,7,18.82302,27.25377706,0.528858746,tropical
Linckia multifora,Asteroidea,Invertebrate,46,5,19.99154,26.06777624,0.558832247,tropical
Fromia indica,Asteroidea,Invertebrate,25,7,19.03606,26.14049813,0.581469197,tropical
Tosia magnifica,Asteroidea,Invertebrate,200,9,10.49518,15.22747713,1.287188689,cool
Meridiastra calcar,Asteroidea,Invertebrate,10,10,11.20076,15.25843312,1.331364774,cool
Echinaster luzonicus,Asteroidea,Invertebrate,60,10,20.38618,26.00864145,0.620125265,tropical
Tosia australis,Asteroidea,Invertebrate,40,10,14.8152,16.05272935,1.097073756,cool
Nectria macrobrachia,Asteroidea,Invertebrate,180,12,9.14886,16.29925938,0.784093512,cool
Culcita novaeguineae,Asteroidea,Invertebrate,40,12.5,20.07814,26.82831273,0.602242815,tropical
Meridiastra gunnii,Asteroidea,Invertebrate,15,13,12.92075,16.28134235,1.09267353,cool
Pseudonepanthia troughtoni,Asteroidea,Invertebrate,70,14,10.55276,16.73153545,0.76830983,cool
Nectria saoria,Asteroidea,Invertebrate,30,14,6.70267,17.71803277,0.708961295,warm
Pentagonaster dubeni,Asteroidea,Invertebrate,200,15,31.65861,17.66427672,0.975912887,warm
Nectria pedicelligera,Asteroidea,Invertebrate,240,15,11.28717,16.31018067,0.999445587,cool
Linckia guildingi,Asteroidea,Invertebrate,29,31,21.61256,22.75763153,0.462940869,warm
Petricia vernicina,Asteroidea,Invertebrate,60,18,31.33811,16.9613051,0.949830271,cool
Astrostole scabra,Asteroidea,Invertebrate,146,44,6.01203,14.54874714,1.470644001,cool
Fromia polypora,Asteroidea,Invertebrate,30,22,25.16697,17.40798094,0.971878555,cool
Linckia laevigata,Asteroidea,Invertebrate,60,22,21.66824,26.55818521,0.550026239,tropical
Uniophora granifera,Asteroidea,Invertebrate,30,24,13.37835,16.71762682,1.176451904,cool
Plectaster decanus,Asteroidea,Invertebrate,200,24,12.2691,17.58354504,0.908278617,warm
Nectria ocellata,Asteroidea,Invertebrate,240,26,13.20933,15.61762622,1.08742739,cool
Ophidiaster confertus,Asteroidea,Invertebrate,50,30,7.67351,21.82643013,0.737491333,warm
Echinaster arcystatus,Asteroidea,Invertebrate,40,36,10.80763,16.62499256,0.853516616,cool
Nardoa variolata,Asteroidea,Invertebrate,14.4,44,2.96649,24.76987046,1.312727552,tropical
Coscinasterias muricata,Asteroidea,Invertebrate,150,50,14.75154,17.25357908,1.123868965,cool
Acanthaster planci,Asteroidea,Invertebrate,65,80,21.89477,25.82143635,0.640462822,tropical
Tridacna crocea,Bivalvia,Invertebrate,20,15,21.6438,26.88723331,0.431943985,tropical
Tridacna derasa,Bivalvia,Invertebrate,20,52,20.05168,26.82759553,0.369093455,tropical
Tridacna gigas,Bivalvia,Invertebrate,35,137,13.65258,27.21242301,0.374931137,tropical
Tridacna maxima,Bivalvia,Invertebrate,35,35,21.67468,26.41913692,0.529372203,tropical
Tridacna squamosa,Bivalvia,Invertebrate,26,41,14.02089,26.95111898,0.58071622,tropical
Octopus tetricus,Cephalopoda,Invertebrate,30,80,13.21575,19.89567249,1.158697262,warm
Sepia apama,Cephalopoda,Invertebrate,100,80,12.61023,18.21844273,0.994311852,warm
Sepia mestus,Cephalopoda,Invertebrate,25,20,7.52459,20.25653519,1.099962447,warm
Sepia plangon,Cephalopoda,Invertebrate,85,13,10.76119,20.25196873,1.082629104,warm
Cenolia trichoptera,Crinoidea,Invertebrate,70,46,14.68105,17.50395053,1.004472075,warm
Comanthus tasmaniae,Crinoidea,Invertebrate,63,30,11.63271,15.26988669,1.085736246,cool
Comanthus wahlbergi,Crinoidea,Invertebrate,103,8,2.788,21.68814321,0.228423896,warm
Oxycomanthus bennetti,Crinoidea,Invertebrate,45,35,22.86212,26.89541361,0.490953791,tropical
Tropiometra afra,Crinoidea,Invertebrate,110,44,25.12562,23.61683081,0.718395699,tropical
Himerometra robustipinna,Crinoidea,Invertebrate,57,23,21.75873,25.95494893,0.414372146,tropical
Ptilometra australis,Crinoidea,Invertebrate,110,15,2.88149,20.9187291,1.446596156,warm
Goniocidaris tubaria,Echinoidea,Invertebrate,630,6,13.58167,16.71908031,1.244217355,cool
Phyllacanthus irregularis,Echinoidea,Invertebrate,20,11,6.90117,19.02117242,0.635965758,warm
Phyllacanthus parvispinus,Echinoidea,Invertebrate,80,9,11.69039,20.17711827,1.055366548,warm
