species_name,taxonomic_name,phylum,class,order,family,genus,species_epithet,phylogenetic_diversity_index,trophic_level,trophic_level_se,vulnerability,reproductive_mode,fertilization,reproductive_guild,trophic_breadth,diet,trophic_group,diet_level,time,water_column,habitat,macrophyte,complexity
Conger verreauxi,Conger verreauxi,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger,verreauxi,0.5001,4.2,0.7,85,,,,2,fishes,higher carnivore,1,Day,benthic,rock,low,high
Congrid spp.,Congrid spp.,Chordata,Actinopterygii,Anguilliformes,Congridae,,,,4.2,,,,,,2.714285714,fishes,higher carnivore,1,Day,benthic,rock,low,high
Heteroconger klausewitzi,Heteroconger klausewitzi,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,klausewitzi,0.5,3.4,0.45,45,,,,3,Carnivore,planktivore,4,Day,benthic,sand,low,medium
Heteroconger longissimus,Heteroconger longissimus,Chordata,Actinopterygii,Anguilliformes,Congridae,Heteroconger,longissimus,0.5,3.1,0.2,37,,,,3,Carnivore,planktivore,4,Day,benthic,sand,low,low
Heterocongrinae spp.,Congrid spp.,Chordata,Actinopterygii,Anguilliformes,Congridae,,,,,,,,,,2.714285714,fishes,higher carnivore,1,Day,benthic,sand,low,medium
Echidna catenata,Echidna catenata,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Echidna,catenata,0.5005,3.5,0.6,69,,,,1,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Echidna nebulosa,Echidna nebulosa,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Echidna,nebulosa,0.5005,4,0.65,42,protogyny,exterl,nonguarders,1.5,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Echidna nocturna,Echidna nocturna,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Echidna,nocturna,0.5005,3.9,0.56,31,,,,1.5,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Echidna polyzona,Echidna polyzona,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Echidna,polyzona,0.5005,3.5,0.6,31,,,,2,crabs,benthic carnivore,1,Night,benthic,coral,low,high
Enchelycore carychroa,Enchelycore carychroa,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Enchelycore,carychroa,0.5001,4.1,0.7,18,,,,1.777777778,crabs,benthic carnivore,1,Night,benthic,coral,low,high
